code,name
plate,plate
purse,purse
radio,radio
scissors,scissors
soap,soap
spoon,spoon
tape,tape
telephon,telephone
tissue,tissue/kleenex
tothbrsh,toothbrush
towel,towel
trash,trash
tray,tray
vacuum,vacuum
walker,walker
watch1,watch
basement,basement
bathroom,bathroom
bathtub,bathtub
bed,bed
bedroom,bedroom
bench,bench
chair,chair
closet,closet
couch,couch
crib,crib
door,door
drawer,drawer
dryer,dryer
garage,garage
highchar,high chair
kitchen,kitchen
livingrm,living room
oven,oven
playpen,play pen
porch,porch
potty,potty
refrgrtr,refrigerator
rckngchr,rocking chair
room,room
shower,shower
sink,sink
sofa,sofa
stairs,stairs
stove,stove
table,table
tv,TV
wshngmch,washing machine
window,window
