definition,aoa,category,lexical_category,lexical_class,uni_lemma
kitchen,14.7283048917923,furniture_rooms,nouns,nouns,kitchen
kitty,21.161689744529,animals,nouns,nouns,kitty
knee,19.5516116548271,body_parts,nouns,nouns,knee
lady,22.7766777098349,people,other,other,lady
lamb,18.8691317471711,animals,nouns,nouns,lamb
lamp,19.1782195033046,household,nouns,nouns,lamp
later,19.7951063835765,time_words,other,other,later
leg,16.8809074911138,body_parts,nouns,nouns,leg
light,17.0901748638138,household,nouns,nouns,light
lion,17.7425953195278,animals,nouns,nouns,lion
little (description),19.6310537317429,descriptive_words,predicates,adjectives,little (description)
living room,17.7648643138657,furniture_rooms,nouns,nouns,living room
look,12.4133766216835,action_words,predicates,verbs,look
love,16.6113772648145,action_words,predicates,verbs,love
lunch,14.5089442897048,games_routines,other,other,lunch
man,22.0072012888538,people,other,other,man
me,20.212525114327,pronouns,function_words,function_words,me
meat,21.6781772418338,food_drink,nouns,nouns,meat
medicine,17.9165967971614,household,nouns,nouns,medicine
meow,73.4254343570452,sounds,other,other,meow
milk,14.3708465448988,food_drink,nouns,nouns,milk
mine,23.7026058600669,pronouns,function_words,function_words,mine
mommy*,10.4848765582093,people,other,other,mommy
money,20.5203654486257,household,nouns,nouns,money
monkey,17.7874660701419,animals,nouns,nouns,monkey
moo,34.6677050408615,sounds,other,other,moo
moon,19.8973936575316,outside,nouns,nouns,moon
more,17.0112659162256,quantifiers,function_words,function_words,more
morning,23.6511865875722,time_words,other,other,morning
motorcycle,19.4191546073922,vehicles,nouns,nouns,motorcycle
mouse,19.0200495540228,animals,nouns,nouns,mouse
mouth,12.9835457517461,body_parts,nouns,nouns,mouth
my,21.488260555542,pronouns,function_words,function_words,my
nap,12.7222048598032,games_routines,other,other,nap
naughty,26.6929435261195,descriptive_words,predicates,adjectives,naughty
necklace,18.9382490748246,clothing,nouns,nouns,necklace
nice,19.4176518013538,descriptive_words,predicates,adjectives,nice
night,20.9126847222836,time_words,other,other,night
night night,16.6691389405058,games_routines,other,other,good night
no,13.9259640411799,games_routines,other,other,no
none,20.7329919883583,quantifiers,function_words,function_words,none
noodles,18.5175303476703,food_drink,nouns,nouns,noodles
nose,14.5811527920604,body_parts,nouns,nouns,nose
not,20.4780172829699,quantifiers,function_words,function_words,not
now,20.3113710131076,time_words,other,other,now
off,15.5734185523059,locations,function_words,function_words,off
old,22.5607243899826,descriptive_words,predicates,adjectives,old
on,15.8347174760733,locations,function_words,function_words,on
open,14.3648920540688,action_words,predicates,verbs,open
orange (food),18.1219403496053,food_drink,nouns,nouns,orange (food)
other,20.7865948386736,quantifiers,function_words,function_words,other
ouch,40.7944187831071,sounds,other,other,ouch
out,17.2333026585996,locations,function_words,function_words,out
outside,11.765550680928,outside,nouns,nouns,outside
oven,18.0023215113231,furniture_rooms,nouns,nouns,oven
owie/boo boo,22.1090522780218,body_parts,nouns,nouns,owie
owl,19.7391603984578,animals,nouns,nouns,owl
pajamas,14.923870677603,clothing,nouns,nouns,pajamas
pants,16.1186255801333,clothing,nouns,nouns,pants
paper,17.5307701667859,household,nouns,nouns,paper
park,17.7716791016803,outside,nouns,nouns,park
party,23.6783746091069,outside,nouns,nouns,party
pattycake,9.57510708174306,games_routines,other,other,pattycake
peas,18.9596068565486,food_drink,nouns,nouns,peas
peekaboo,23.608135550022,games_routines,other,other,peekaboo
pen,17.0810278278657,toys,nouns,nouns,pen
penguin,21.1312014461184,animals,nouns,nouns,penguin
penny,22.4572242698684,household,nouns,nouns,penny
people,21.3447268859293,people,other,other,people
person,25.8187768017535,people,other,other,person
picture,16.6480260908189,household,nouns,nouns,picture
pig,16.1215527701319,animals,nouns,nouns,pig
pillow,16.6016161034496,household,nouns,nouns,pillow
pizza,18.5138144709627,food_drink,nouns,nouns,pizza
plant,18.3691541404191,household,nouns,nouns,plant
plate,16.74178040106,household,nouns,nouns,plate
play,15.461732697819,action_words,predicates,verbs,play
play pen,38.8944215839643,furniture_rooms,nouns,nouns,play pen
please,19.5979214478968,games_routines,other,other,please
pony,21.5563828133152,animals,nouns,nouns,pony
pool,22.03962007354,outside,nouns,nouns,pool
potty,18.0719556043582,furniture_rooms,nouns,nouns,potty
pretty,22.1026371985795,descriptive_words,predicates,adjectives,pretty
pull,17.6228763653133,action_words,predicates,verbs,pull
puppy,17.2308488298524,animals,nouns,nouns,puppy
purse,16.9980501650879,household,nouns,nouns,purse
push,16.2534333608626,action_words,predicates,verbs,push
put,15.6224375465168,action_words,predicates,verbs,put
quack quack,22.0435650058921,sounds,other,other,quack quack
radio,19.4056878844271,household,nouns,nouns,radio
rain,19.1488860565312,outside,nouns,nouns,rain
raisin,17.6055759088567,food_drink,nouns,nouns,raisin
read,14.6097567822001,action_words,predicates,verbs,read
red,22.3008859668238,descriptive_words,predicates,adjectives,red
refrigerator,15.1845681157039,furniture_rooms,nouns,nouns,refrigerator
ride,15.7987078017303,action_words,predicates,verbs,ride
rock,17.9773206146662,outside,nouns,nouns,rock
rocking chair,17.5210758619376,furniture_rooms,nouns,nouns,rocking chair
run,16.4404847122576,action_words,predicates,verbs,run
same,21.9954579694303,quantifiers,function_words,function_words,same
say,16.3866625060762,action_words,predicates,verbs,say
scared,22.4586195722088,descriptive_words,predicates,adjectives,scared
school,22.7614124860542,outside,nouns,nouns,school
scissors,19.6795523612765,household,nouns,nouns,scissors
see,16.3022963707793,action_words,predicates,verbs,see
sheep,17.9306840274322,animals,nouns,nouns,sheep
shh/shush/hush,20.3218239545935,games_routines,other,other,shh
shirt,15.577814971111,clothing,nouns,nouns,shirt
shoe,15.9608941924442,clothing,nouns,nouns,shoe
shorts,19.0579885158562,clothing,nouns,nouns,shorts
shovel,19.5983261522767,outside,nouns,nouns,shovel
show,15.420352826244,action_words,predicates,verbs,show
sick,23.0971625531305,descriptive_words,predicates,adjectives,sick
sing,16.4444749105608,action_words,predicates,verbs,sing
sink,17.6796202558544,furniture_rooms,nouns,nouns,sink
sister,-3.40660457458768,people,other,other,sister
sky,18.7581342192644,outside,nouns,nouns,sky
sleep,14.4732340426681,action_words,predicates,verbs,sleep
sleepy,15.248967358223,descriptive_words,predicates,adjectives,sleepy
slide (object),15.8712310120742,outside,nouns,nouns,slide (object)
smile,18.1812072934617,action_words,predicates,verbs,smile
snow,25.5142340510473,outside,nouns,nouns,snow
soap,17.385936500758,household,nouns,nouns,soap
sock,14.6075616232971,clothing,nouns,nouns,sock
soft,18.0591368720177,descriptive_words,predicates,adjectives,soft
some,19.8248641724606,quantifiers,function_words,function_words,some
spaghetti,18.4732132335644,food_drink,nouns,nouns,spaghetti
splash,14.4537688393235,action_words,predicates,verbs,splash
spoon,14.5820541721009,household,nouns,nouns,spoon
squirrel,20.0414213318282,animals,nouns,nouns,squirrel
stairs,15.067962515243,furniture_rooms,nouns,nouns,stairs
star,19.8070778551337,outside,nouns,nouns,star
stop,13.9023176405916,action_words,predicates,verbs,stop
store,17.2753578534223,outside,nouns,nouns,store
stove,18.8435159866102,furniture_rooms,nouns,nouns,stove
stroller,12.7272207862695,vehicles,nouns,nouns,stroller
sun,19.0589345219953,outside,nouns,nouns,sun
sweater,21.1796974577439,clothing,nouns,nouns,sweater
swim,20.7160756831018,action_words,predicates,verbs,swim
swing (action),15.8594074882611,action_words,predicates,verbs,swing (action)
swing (object),15.6789526043209,outside,nouns,nouns,swing (object)
table,15.4760744967501,furniture_rooms,nouns,nouns,table
take,17.3088769819614,action_words,predicates,verbs,take
teacher,26.965447706628,people,other,other,teacher
teddybear,15.2305366144087,animals,nouns,nouns,teddybear
telephone,12.3328676033067,household,nouns,nouns,telephone
thank you,19.763290214383,games_routines,other,other,thank you
that,22.3121105373863,pronouns,function_words,function_words,that
there,17.812238824257,locations,function_words,function_words,there
thirsty,15.8352610916757,descriptive_words,predicates,adjectives,thirsty
this,20.5946792337211,pronouns,function_words,function_words,this
throw,13.560205737453,action_words,predicates,verbs,throw
tickle,15.5401480075673,action_words,predicates,verbs,tickle
tiger,18.8575851169804,animals,nouns,nouns,tiger
tired,15.8071405911363,descriptive_words,predicates,adjectives,tired
toast,19.3997500302342,food_drink,nouns,nouns,toast
today,24.5190175529914,time_words,other,other,today
toe,15.7682276328995,body_parts,nouns,nouns,toe
tomorrow,22.5197439615757,time_words,other,other,tomorrow
tongue,16.1541368579342,body_parts,nouns,nouns,tongue
tonight,38.4679516882398,time_words,other,other,tonight
tooth,16.1100159133234,body_parts,nouns,nouns,tooth
toothbrush,14.0703102001115,household,nouns,nouns,toothbrush
touch,15.8816026260115,action_words,predicates,verbs,touch
towel,16.4824819272828,household,nouns,nouns,towel
toy (object),13.4200341828151,toys,nouns,nouns,toy (object)
train,16.9867987605141,vehicles,nouns,nouns,train
trash,16.1842285614385,household,nouns,nouns,trash
tree,17.4399180620813,outside,nouns,nouns,tree
truck,17.6605235674971,vehicles,nouns,nouns,truck
tummy,13.9804009426932,body_parts,nouns,nouns,tummy
turkey,22.4569861727557,animals,nouns,nouns,turkey
turtle,20.7503978133293,animals,nouns,nouns,turtle
tv,13.6192105211742,furniture_rooms,nouns,nouns,tv
uh oh,6.94265649808496,sounds,other,other,uh oh
uncle,29.1301941695394,people,other,other,uncle
under,17.1619232650759,locations,function_words,function_words,under
up,19.5935202121363,locations,function_words,function_words,up
vacuum,15.6613811776675,household,nouns,nouns,vacuum
vroom,30.8105488352074,sounds,other,other,vroom
wait,15.8806478792508,games_routines,other,other,wait
walk,13.9941974196849,action_words,predicates,verbs,walk
wanna/want to,16.3148020581069,games_routines,other,other,wanna
wash,15.1626824587872,action_words,predicates,verbs,wash
watch (action),17.8131685820776,action_words,predicates,verbs,watch (action)
watch (object),18.3860868310965,household,nouns,nouns,watch (object)
water (beverage),16.8206462277005,food_drink,nouns,nouns,water (beverage)
water (not beverage),15.8854857998077,outside,nouns,nouns,water (not beverage)
wet,17.8942198948746,descriptive_words,predicates,adjectives,wet
what,18.7428486133719,question_words,function_words,function_words,what
when,22.128407109696,question_words,function_words,function_words,when (question)
where,15.1448727717129,question_words,function_words,function_words,where (question)
who,18.5029663764205,question_words,function_words,function_words,who
why,23.1293527561732,question_words,function_words,function_words,why
window,15.6416671752378,furniture_rooms,nouns,nouns,window
wipe,15.9551511421116,action_words,predicates,verbs,wipe
woof woof,297.833073320547,sounds,other,other,woof woof
work (place),19.9098867665398,outside,nouns,nouns,work (place)
write,18.8719289715615,action_words,predicates,verbs,write
yes,14.632837917949,games_routines,other,other,yes
you,17.9435949255782,pronouns,function_words,function_words,you
your,19.0951760557762,pronouns,function_words,function_words,your
yucky,17.2488235676727,descriptive_words,predicates,adjectives,yucky
yum yum,-13.9271966186624,sounds,other,other,yum yum
zipper,18.5390263464042,clothing,nouns,nouns,zipper
zoo,20.6592901000442,outside,nouns,nouns,zoo
NA,-29.4881103942479,NA,NA,NA,NA
