itemID,item,type,CategoryName,translated_category,definition,gloss,uni_lemma
item_82,p1_c04_i08,word,4. צעצועים,toys,טוש,,
item_83,p1_c04_i09,word,4. צעצועים,toys,כדור,,
item_84,p1_c04_i10,word,4. צעצועים,toys,ליצן,,
item_85,p1_c04_i11,word,4. צעצועים,toys,מגדל,,
item_86,p1_c04_i12,word,4. צעצועים,toys,משחק,,
item_87,p1_c04_i13,word,4. צעצועים,toys,מתנה,,
item_88,p1_c04_i14,word,4. צעצועים,toys,סביבון,,
item_89,p1_c04_i15,word,4. צעצועים,toys,סיפור,,
item_90,p1_c04_i16,word,4. צעצועים,toys,ספר,,
item_91,p1_c04_i17,word,4. צעצועים,toys,עט,,
item_92,p1_c04_i18,word,4. צעצועים,toys,עפרון,,
item_93,p1_c04_i19,word,4. צעצועים,toys,פאזל/ הרכבה,,
item_94,p1_c04_i20,word,4. צעצועים,toys,צעצוע,,
item_95,p1_c04_i21,word,4. צעצועים,toys,קוביה,,
item_96,p1_c04_i22,word,4. צעצועים,toys,רעשן/ קשקשן,,
item_97,p1_c05_i01,word,5. מאכלים ומשקאות,food_drink,אבטיח,,
item_98,p1_c05_i02,word,5. מאכלים ומשקאות,food_drink,אגוזים,,
item_99,p1_c05_i03,word,5. מאכלים ומשקאות,food_drink,אגס,,
item_100,p1_c05_i04,word,5. מאכלים ומשקאות,food_drink,אוכל,,
item_101,p1_c05_i05,word,5. מאכלים ומשקאות,food_drink,אורז,,
item_102,p1_c05_i06,word,5. מאכלים ומשקאות,food_drink,אפונה,,
item_103,p1_c05_i07,word,5. מאכלים ומשקאות,food_drink,אפרסק,,
item_104,p1_c05_i08,word,5. מאכלים ומשקאות,food_drink,ארטיק/ גלידה,,
item_105,p1_c05_i09,word,5. מאכלים ומשקאות,food_drink,במבה,,
item_106,p1_c05_i10,word,5. מאכלים ומשקאות,food_drink,בננה,,
item_107,p1_c05_i11,word,5. מאכלים ומשקאות,food_drink,בייגלה,,
item_108,p1_c05_i12,word,5. מאכלים ומשקאות,food_drink,ביצה,,
item_109,p1_c05_i13,word,5. מאכלים ומשקאות,food_drink,בשר,,
item_110,p1_c05_i14,word,5. מאכלים ומשקאות,food_drink,גבינה,,
item_111,p1_c05_i15,word,5. מאכלים ומשקאות,food_drink,גזר,,
item_112,p1_c05_i16,word,5. מאכלים ומשקאות,food_drink,דבש,,
item_113,p1_c05_i17,word,5. מאכלים ומשקאות,food_drink,דג,,
item_114,p1_c05_i18,word,5. מאכלים ומשקאות,food_drink,דייסה,,
item_115,p1_c05_i19,word,5. מאכלים ומשקאות,food_drink,ופלה,,
item_116,p1_c05_i20,word,5. מאכלים ומשקאות,food_drink,זיתים,,
item_117,p1_c05_i21,word,5. מאכלים ומשקאות,food_drink,חביתה,,
item_118,p1_c05_i22,word,5. מאכלים ומשקאות,food_drink,חמוצים/ מלפפון חמוץ,,
item_119,p1_c05_i23,word,5. מאכלים ומשקאות,food_drink,חלב,,
item_120,p1_c05_i24,word,5. מאכלים ומשקאות,food_drink,טונה,,
item_121,p1_c05_i25,word,5. מאכלים ומשקאות,food_drink,טוסט,,
item_122,p1_c05_i26,word,5. מאכלים ומשקאות,food_drink,טחינה,,
item_123,p1_c05_i27,word,5. מאכלים ומשקאות,food_drink,לבן/ יוגורט/ מעדן,,
item_124,p1_c05_i28,word,5. מאכלים ומשקאות,food_drink,לחם,,
item_125,p1_c05_i29,word,5. מאכלים ומשקאות,food_drink,לחמניה,,
item_126,p1_c05_i30,word,5. מאכלים ומשקאות,food_drink,מים,,
item_127,p1_c05_i31,word,5. מאכלים ומשקאות,food_drink,מיץ,,
item_128,p1_c05_i32,word,5. מאכלים ומשקאות,food_drink,מלון,,
item_129,p1_c05_i33,word,5. מאכלים ומשקאות,food_drink,מלח,,
item_130,p1_c05_i34,word,5. מאכלים ומשקאות,food_drink,מלפפון,,
item_131,p1_c05_i35,word,5. מאכלים ומשקאות,food_drink,ממתק,,
item_132,p1_c05_i36,word,5. מאכלים ומשקאות,food_drink,מסטיק,,
item_133,p1_c05_i37,word,5. מאכלים ומשקאות,food_drink,מרק,,
item_134,p1_c05_i38,word,5. מאכלים ומשקאות,food_drink,מרגרינה/ חמאה,,
item_135,p1_c05_i39,word,5. מאכלים ומשקאות,food_drink,נקניק,,
item_136,p1_c05_i40,word,5. מאכלים ומשקאות,food_drink,סוכריה,,
item_137,p1_c05_i41,word,5. מאכלים ומשקאות,food_drink,ספגטי/ אטריות/ פסטה,,
item_138,p1_c05_i42,word,5. מאכלים ומשקאות,food_drink,סנדוויץ/ כריך,,
item_139,p1_c05_i43,word,5. מאכלים ומשקאות,food_drink,עגבניה,,
item_140,p1_c05_i44,word,5. מאכלים ומשקאות,food_drink,עוגה/ עוגיה,,
item_141,p1_c05_i45,word,5. מאכלים ומשקאות,food_drink,עוף,,
item_142,p1_c05_i46,word,5. מאכלים ומשקאות,food_drink,ענבים,,
item_143,p1_c05_i47,word,5. מאכלים ומשקאות,food_drink,פיצה,,
item_144,p1_c05_i48,word,5. מאכלים ומשקאות,food_drink,פיתה,,
item_145,p1_c05_i49,word,5. מאכלים ומשקאות,food_drink,פילפל,,
item_146,p1_c05_i50,word,5. מאכלים ומשקאות,food_drink,פתיתים,,
item_147,p1_c05_i51,word,5. מאכלים ומשקאות,food_drink,צימוקים,,
item_148,p1_c05_i52,word,5. מאכלים ומשקאות,food_drink,צ'יפס,,
item_149,p1_c05_i53,word,5. מאכלים ומשקאות,food_drink,קולה,,
item_150,p1_c05_i54,word,5. מאכלים ומשקאות,food_drink,קלמנטינה,,
item_151,p1_c05_i55,word,5. מאכלים ומשקאות,food_drink,קפה,,
item_152,p1_c05_i56,word,5. מאכלים ומשקאות,food_drink,קציצה,,
item_153,p1_c05_i57,word,5. מאכלים ומשקאות,food_drink,קרקר,,
item_154,p1_c05_i58,word,5. מאכלים ומשקאות,food_drink,ריבה,,
item_155,p1_c05_i59,word,5. מאכלים ומשקאות,food_drink,שוקו,,
item_156,p1_c05_i60,word,5. מאכלים ומשקאות,food_drink,שוקולד,,
item_157,p1_c05_i61,word,5. מאכלים ומשקאות,food_drink,שניצל,,
item_158,p1_c05_i62,word,5. מאכלים ומשקאות,food_drink,שעועית,,
item_159,p1_c05_i63,word,5. מאכלים ומשקאות,food_drink,תה,,
item_160,p1_c05_i64,word,5. מאכלים ומשקאות,food_drink,תות,,
item_161,p1_c05_i65,word,5. מאכלים ומשקאות,food_drink,תירס,,
item_162,p1_c05_i66,word,5. מאכלים ומשקאות,food_drink,תפוז,,
item_163,p1_c05_i67,word,5. מאכלים ומשקאות,food_drink,תפוח,,
item_164,p1_c05_i68,word,5. מאכלים ומשקאות,food_drink,תפוח אדמה,,
item_165,p1_c06_i01,word,6. בגדים,clothing,אפודה,,
item_166,p1_c06_i02,word,6. בגדים,clothing,בגד ים,,
item_167,p1_c06_i03,word,6. בגדים,clothing,גופיה,,
item_168,p1_c06_i04,word,6. בגדים,clothing,ג'ינס,,
item_169,p1_c06_i05,word,6. בגדים,clothing,גרביונים/ טייטס,,
item_170,p1_c06_i06,word,6. בגדים,clothing,גרביים,,
item_171,p1_c06_i07,word,6. בגדים,clothing,חגורה,,
item_172,p1_c06_i08,word,6. בגדים,clothing,חולצה,,
item_173,p1_c06_i09,word,6. בגדים,clothing,חצאית,,
item_174,p1_c06_i10,word,6. בגדים,clothing,טיטול/ חיתול,,
item_175,p1_c06_i11,word,6. בגדים,clothing,טריינינג,,
item_176,p1_c06_i12,word,6. בגדים,clothing,כובע,,
item_177,p1_c06_i13,word,6. בגדים,clothing,כפפות,,
item_178,p1_c06_i14,word,6. בגדים,clothing,כפתור,,
item_179,p1_c06_i15,word,6. בגדים,clothing,מגפיים,,
item_180,p1_c06_i16,word,6. בגדים,clothing,מכנסיים,,
item_181,p1_c06_i17,word,6. בגדים,clothing,מעיל,,
item_182,p1_c06_i18,word,6. בגדים,clothing,נעל/ נעליים,,
item_183,p1_c06_i19,word,6. בגדים,clothing,נעלי בית,,
item_184,p1_c06_i20,word,6. בגדים,clothing,נעלי ספורט/ התעמלות,,
item_185,p1_c06_i21,word,6. בגדים,clothing,סוודר,,
item_186,p1_c06_i22,word,6. בגדים,clothing,סינר,,
item_187,p1_c06_i23,word,6. בגדים,clothing,סנדלים,,
item_188,p1_c06_i24,word,6. בגדים,clothing,פיג'מה,,
item_189,p1_c06_i25,word,6. בגדים,clothing,צעיף,,
item_190,p1_c06_i26,word,6. בגדים,clothing,רוכסן/ ריצ'רץ,,
item_191,p1_c06_i27,word,6. בגדים,clothing,שמלה,,
item_192,p1_c06_i28,word,6. בגדים,clothing,שרשרת/ מחרוזת,,
item_193,p1_c06_i29,word,6. בגדים,clothing,תחתונים,,
item_194,p1_c07_i01,word,7. חלקי גוף,body_parts,אגודל/ בוהן,,
item_195,p1_c07_i02,word,7. חלקי גוף,body_parts,אוזן/ אוזניים,,
item_196,p1_c07_i03,word,7. חלקי גוף,body_parts,אף,,
item_197,p1_c07_i04,word,7. חלקי גוף,body_parts,אצבעות,,
item_198,p1_c07_i05,word,7. חלקי גוף,body_parts,בטן,,
item_199,p1_c07_i06,word,7. חלקי גוף,body_parts,ברך/ ברכיים,,
item_200,p1_c07_i07,word,7. חלקי גוף,body_parts,יד/ ידיים,,
item_201,p1_c07_i08,word,7. חלקי גוף,body_parts,כתף/ כתפיים,,
item_202,p1_c07_i09,word,7. חלקי גוף,body_parts,לחי/ לחיים,,
item_203,p1_c07_i10,word,7. חלקי גוף,body_parts,לשון,,
item_204,p1_c07_i11,word,7. חלקי גוף,body_parts,מצח,,
item_205,p1_c07_i12,word,7. חלקי גוף,body_parts,סנטר,,
item_206,p1_c07_i13,word,7. חלקי גוף,body_parts,עין/ עיניים,,
item_207,p1_c07_i14,word,7. חלקי גוף,body_parts,פה,,
item_208,p1_c07_i15,word,7. חלקי גוף,body_parts,פופיק/ טבור,,
item_209,p1_c07_i16,word,7. חלקי גוף,body_parts,פנים,,
item_210,p1_c07_i17,word,7. חלקי גוף,body_parts,צואר,,
item_211,p1_c07_i18,word,7. חלקי גוף,body_parts,ציצי,,
item_212,p1_c07_i19,word,7. חלקי גוף,body_parts,ציפורניים,,
item_213,p1_c07_i20,word,7. חלקי גוף,body_parts,ראש,,
item_214,p1_c07_i21,word,7. חלקי גוף,body_parts,רגל/ רגליים,,
item_215,p1_c07_i22,word,7. חלקי גוף,body_parts,שן/ שיניים,,
item_216,p1_c07_i23,word,7. חלקי גוף,body_parts,שפתיים,,
item_217,p1_c07_i24,word,7. חלקי גוף,body_parts,שערות,,
item_218,p1_c08_i01,word,8. רהיטים וחדרים,furniture_rooms,אמבטיה,,
item_219,p1_c08_i02,word,8. רהיטים וחדרים,furniture_rooms,ארון,,
item_220,p1_c08_i03,word,8. רהיטים וחדרים,furniture_rooms,דלת,,
item_221,p1_c08_i04,word,8. רהיטים וחדרים,furniture_rooms,וילון,,
item_222,p1_c08_i05,word,8. רהיטים וחדרים,furniture_rooms,חדר,,
item_223,p1_c08_i06,word,8. רהיטים וחדרים,furniture_rooms,חדר שינה,,
item_224,p1_c08_i07,word,8. רהיטים וחדרים,furniture_rooms,חלון,,
item_225,p1_c08_i08,word,8. רהיטים וחדרים,furniture_rooms,חניה/ מוסך,,
item_226,p1_c08_i09,word,8. רהיטים וחדרים,furniture_rooms,טוש/ מקלחת,,
item_227,p1_c08_i10,word,8. רהיטים וחדרים,furniture_rooms,טלויזיה,,
item_228,p1_c08_i11,word,8. רהיטים וחדרים,furniture_rooms,ישבנון/ סיר,,
item_229,p1_c08_i12,word,8. רהיטים וחדרים,furniture_rooms,כורסה,,
item_230,p1_c08_i13,word,8. רהיטים וחדרים,furniture_rooms,כיור,,
item_231,p1_c08_i14,word,8. רהיטים וחדרים,furniture_rooms,כיסא,,
item_232,p1_c08_i15,word,8. רהיטים וחדרים,furniture_rooms,לול,,
item_233,p1_c08_i16,word,8. רהיטים וחדרים,furniture_rooms,מגירה,,
item_234,p1_c08_i17,word,8. רהיטים וחדרים,furniture_rooms,מדרגות,,
item_235,p1_c08_i18,word,8. רהיטים וחדרים,furniture_rooms,מטבח,,
item_236,p1_c08_i19,word,8. רהיטים וחדרים,furniture_rooms,מיטה,,
item_237,p1_c08_i20,word,8. רהיטים וחדרים,furniture_rooms,מכונת כביסה,,
item_238,p1_c08_i21,word,8. רהיטים וחדרים,furniture_rooms,מפה,,
item_239,p1_c08_i22,word,8. רהיטים וחדרים,furniture_rooms,מקרר,,
item_240,p1_c08_i23,word,8. רהיטים וחדרים,furniture_rooms,מרפסת,,
item_241,p1_c08_i24,word,8. רהיטים וחדרים,furniture_rooms,סלון,,
item_242,p1_c08_i25,word,8. רהיטים וחדרים,furniture_rooms,ספה,,
item_243,p1_c08_i26,word,8. רהיטים וחדרים,furniture_rooms,ספסל,,
item_244,p1_c08_i27,word,8. רהיטים וחדרים,furniture_rooms,שולחן,,
item_245,p1_c08_i28,word,8. רהיטים וחדרים,furniture_rooms,שטיח,,
item_246,p1_c08_i29,word,8. רהיטים וחדרים,furniture_rooms,שירותים/ בית שימוש,,
item_247,p1_c08_i30,word,8. רהיטים וחדרים,furniture_rooms,תנור,,
item_248,p1_c08_i31,word,8. רהיטים וחדרים,furniture_rooms,תריס,,
item_249,p1_c09_i01,word,9. בבית,household,אור,,
item_250,p1_c09_i02,word,9. בבית,household,ארנק,,
item_251,p1_c09_i03,word,9. בבית,household,אשפה/ זבל/ פח,,
item_252,p1_c09_i04,word,9. בבית,household,בקבוק,,
item_253,p1_c09_i05,word,9. בבית,household,דלי,,
item_254,p1_c09_i06,word,9. בבית,household,טישיו/ ממחטה,,
item_255,p1_c09_i07,word,9. בבית,household,טלפון,,
item_256,p1_c09_i08,word,9. בבית,household,כוס/ ספל,,
item_257,p1_c09_i09,word,9. בבית,household,כסף,,
item_258,p1_c09_i10,word,9. בבית,household,כף,,
item_259,p1_c09_i11,word,9. בבית,household,כפית,,
item_260,p1_c09_i12,word,9. בבית,household,כרית,,
item_261,p1_c09_i13,word,9. בבית,household,מברשת,,
item_262,p1_c09_i14,word,9. בבית,household,מברשת שיניים,,
item_263,p1_c09_i15,word,9. בבית,household,מגב,,
item_264,p1_c09_i16,word,9. בבית,household,מגבת,,
item_265,p1_c09_i17,word,9. בבית,household,מגש,,
item_266,p1_c09_i18,word,9. בבית,household,מוצץ,,
item_267,p1_c09_i19,word,9. בבית,household,מזלג,,
item_268,p1_c09_i20,word,9. בבית,household,מחבת,,
item_269,p1_c09_i21,word,9. בבית,household,מטאטא,,
item_270,p1_c09_i22,word,9. בבית,household,מנורה,,
item_271,p1_c09_i23,word,9. בבית,household,מסמר,,
item_272,p1_c09_i24,word,9. בבית,household,מספריים,,
item_273,p1_c09_i25,word,9. בבית,household,מסרק,,
item_274,p1_c09_i26,word,9. בבית,household,מפית,,
item_275,p1_c09_i27,word,9. בבית,household,מצלמה,,
item_276,p1_c09_i28,word,9. בבית,household,מפתחות,,
item_277,p1_c09_i29,word,9. בבית,household,משקפיים,,
item_278,p1_c09_i30,word,9. בבית,household,נייר,,
item_279,p1_c09_i31,word,9. בבית,household,סבון,,
item_280,p1_c09_i32,word,9. בבית,household,סכין,,
item_281,p1_c09_i33,word,9. בבית,household,סל,,
item_282,p1_c09_i34,word,9. בבית,household,עציץ,,
item_283,p1_c09_i35,word,9. בבית,household,פטיש,,
item_284,p1_c09_i36,word,9. בבית,household,צלחת,,
item_285,p1_c09_i37,word,9. בבית,household,צמח,,
item_286,p1_c09_i38,word,9. בבית,household,קופסה,,
item_287,p1_c09_i39,word,9. בבית,household,קערה/ קערית,,
item_288,p1_c09_i40,word,9. בבית,household,רדיו,,
item_289,p1_c09_i41,word,9. בבית,household,שואב אבק,,
item_290,p1_c09_i42,word,9. בבית,household,שמיכה,,
item_291,p1_c09_i43,word,9. בבית,household,שעון,,
item_292,p1_c09_i44,word,9. בבית,household,תיק,,
item_293,p1_c09_i45,word,9. בבית,household,תמונה,,
item_294,p1_c09_i46,word,9. בבית,household,תרופה,,
item_295,p1_c10_i01,word,10. בחוץ,outside,אבן,,
item_296,p1_c10_i02,word,10. בחוץ,outside,אדמה,,
item_297,p1_c10_i03,word,10. בחוץ,outside,ארגז חול,,
item_298,p1_c10_i04,word,10. בחוץ,outside,את/ מעדר,,
item_299,p1_c10_i05,word,10. בחוץ,outside,ברז,,
item_300,p1_c10_i06,word,10. בחוץ,outside,בריכה,,
item_301,p1_c10_i07,word,10. בחוץ,outside,גג,,
item_302,p1_c10_i08,word,10. בחוץ,outside,גשם,,
item_303,p1_c10_i09,word,10. בחוץ,outside,דגל,,
item_304,p1_c10_i10,word,10. בחוץ,outside,דשא,,
item_305,p1_c10_i11,word,10. בחוץ,outside,חול,,
item_306,p1_c10_i12,word,10. בחוץ,outside,חצר,,
item_307,p1_c10_i13,word,10. בחוץ,outside,ירח,,
item_308,p1_c10_i14,word,10. בחוץ,outside,כביש,,
item_309,p1_c10_i15,word,10. בחוץ,outside,כוכב/ כוכבים,,
item_310,p1_c10_i16,word,10. בחוץ,outside,מגלשה,,
item_311,p1_c10_i17,word,10. בחוץ,outside,מדרכה,,
item_312,p1_c10_i18,word,10. בחוץ,outside,ממטרה,,
item_313,p1_c10_i19,word,10. בחוץ,outside,מקל,,
item_314,p1_c10_i20,word,10. בחוץ,outside,נדנדה,,
item_315,p1_c10_i21,word,10. בחוץ,outside,סולם,,
item_316,p1_c10_i22,word,10. בחוץ,outside,ענן/ עננים,,
item_317,p1_c10_i23,word,10. בחוץ,outside,עץ,,
item_318,p1_c10_i24,word,10. בחוץ,outside,פרח,,
item_319,p1_c10_i25,word,10. בחוץ,outside,צינור,,
item_320,p1_c10_i26,word,10. בחוץ,outside,רוח,,
item_321,p1_c10_i27,word,10. בחוץ,outside,רחוב,,
item_322,p1_c10_i28,word,10. בחוץ,outside,שמיים,,
item_323,p1_c10_i29,word,10. בחוץ,outside,שמש,,
item_324,p1_c11_i01,word,11. מקומות,places,בית/ הביתה,,
item_325,p1_c11_i02,word,11. מקומות,places,בית כנסת,,
item_326,p1_c11_i03,word,11. מקומות,places,גינה/ פארק,,
item_327,p1_c11_i04,word,11. מקומות,places,גן (משפחתון/ פעוטון/ מעון/ גנון),,
item_328,p1_c11_i05,word,11. מקומות,places,גן חיות,,
item_329,p1_c11_i06,word,11. מקומות,places,גן שעשועים/ מגרש משחקים,,
item_330,p1_c11_i07,word,11. מקומות,places,הר,,
item_331,p1_c11_i08,word,11. מקומות,places,חורשה,,
item_332,p1_c11_i09,word,11. מקומות,places,חנות,,
item_333,p1_c11_i10,word,11. מקומות,places,ים/ חוף ים,,
item_334,p1_c11_i11,word,11. מקומות,places,מסיבה,,
item_335,p1_c11_i12,word,11. מקומות,places,סופרמרקט/ סופר/ מכולת,,
item_336,p1_c11_i13,word,11. מקומות,places,סרט,,
item_337,p1_c11_i14,word,11. מקומות,places,עבודה,,
