itemID,item,type,category,choices,definition,complexity_category,gloss,uni_lemma
item_32,i_4_1,word,sounds,understands; produces,au,NA,sheep,ouch
item_303,i_17_16,word,action_words,understands; produces,hjelpe,NA,help,help
item_304,i_17_17,word,action_words,understands; produces,holde øye med,NA,keep an eye on,watch (action)
item_305,i_17_18,word,action_words,understands; produces,hoppe,NA,jump,jump
item_306,i_17_19,word,action_words,understands; produces,huske (action),NA,remember,remember
item_307,i_17_20,word,action_words,understands; produces,kaste,NA,throw,throw
item_308,i_17_21,word,action_words,understands; produces,kile,NA,wedge,tickle
item_309,i_17_22,word,action_words,understands; produces,kjøre,NA,driving,drive
item_310,i_17_23,word,action_words,understands; produces,klemme,NA,clamp,hug
item_311,i_17_24,word,action_words,understands; produces,kysse,NA,kiss,kiss
item_312,i_17_25,word,action_words,understands; produces,legge,NA,put,put
item_313,i_17_26,word,action_words,understands; produces,leke (action),NA,play,play
item_314,i_17_27,word,action_words,understands; produces,lese,NA,read,read
item_315,i_17_28,word,action_words,understands; produces,løpe,NA,run,run
item_316,i_17_29,word,action_words,understands; produces,lukke,NA,close,close
item_317,i_17_30,word,action_words,understands; produces,mate,NA,feed,feed
item_318,i_17_31,word,action_words,understands; produces,ødelegge,NA,tear up,break
item_319,i_17_32,word,action_words,understands; produces,plaske,NA,splash,splash
item_320,i_17_33,word,action_words,understands; produces,ri,NA,ri,ride
item_321,i_17_34,word,action_words,understands; produces,rydde,NA,clear,clean (action)
item_322,i_17_35,word,action_words,understands; produces,se,NA,see,see
item_323,i_17_36,word,action_words,understands; produces,se på,NA,look at,look
item_324,i_17_37,word,action_words,understands; produces,si,NA,say,say
item_325,i_17_38,word,action_words,understands; produces,skrive,NA,write,write
item_326,i_17_39,word,action_words,understands; produces,slå,NA,switch,hit
item_327,i_17_40,word,action_words,understands; produces,smile,NA,smile,smile
item_328,i_17_41,word,action_words,understands; produces,sove,NA,sleep,sleep
item_329,i_17_42,word,action_words,understands; produces,sparke,NA,Kick,kick
item_330,i_17_43,word,action_words,understands; produces,spise,NA,eat,eat
item_331,i_17_44,word,action_words,understands; produces,stoppe,NA,stop,stop
item_332,i_17_45,word,action_words,understands; produces,svømme,NA,swim,swim
item_333,i_17_46,word,action_words,understands; produces,synge,NA,sing,sing
item_334,i_17_47,word,action_words,understands; produces,ta,NA,take,take
item_335,i_17_48,word,action_words,understands; produces,ta på,NA,touch,touch
item_336,i_17_49,word,action_words,understands; produces,tegne,NA,draw,draw
item_337,i_17_50,word,action_words,understands; produces,tørke,NA,drought,dry (action)
item_338,i_17_51,word,action_words,understands; produces,vaske,NA,wash,wash
item_339,i_17_52,word,action_words,understands; produces,vise,NA,view,show
item_340,i_17_53,word,action_words,understands; produces,åpne,NA,open up,open (action)
item_341,i_18_1,word,descriptive_words,understands; produces,blå,NA,blue,blue
item_342,i_18_2,word,descriptive_words,understands; produces,borte,NA,away,all gone
item_343,i_18_3,word,descriptive_words,understands; produces,bra,NA,good,good
item_344,i_18_4,word,descriptive_words,understands; produces,ekkelt,NA,disgusting,yucky
item_345,i_18_5,word,descriptive_words,understands; produces,fin,NA,nice,fine
item_346,i_18_6,word,descriptive_words,understands; produces,forsiktig,NA,careful,careful
item_347,i_18_7,word,descriptive_words,understands; produces,fort,NA,fast,fast
item_348,i_18_8,word,descriptive_words,understands; produces,frekk,NA,rude,bad
item_349,i_18_9,word,descriptive_words,understands; produces,gammel,NA,old,old
item_350,i_18_10,word,descriptive_words,understands; produces,glad,NA,happy,happy
item_351,i_18_11,word,descriptive_words,understands; produces,grei,NA,easy,nice
item_352,i_18_12,word,descriptive_words,understands; produces,hard,NA,hard,hard
item_353,i_18_13,word,descriptive_words,understands; produces,kald,NA,cold,cold
item_354,i_18_14,word,descriptive_words,understands; produces,liten,NA,small,little (description)
item_355,i_18_15,word,descriptive_words,understands; produces,mørkt,NA,dark,dark
item_356,i_18_16,word,descriptive_words,understands; produces,myk,NA,soft,soft
item_357,i_18_17,word,descriptive_words,understands; produces,ødelagt,NA,destroyed,broken
item_358,i_18_18,word,descriptive_words,understands; produces,pen,NA,pretty,pretty
item_359,i_18_19,word,descriptive_words,understands; produces,redd,NA,afraid,scared
item_360,i_18_20,word,descriptive_words,understands; produces,ren,NA,clean,clean (description)
item_361,i_18_21,word,descriptive_words,understands; produces,rød,NA,red,red
item_362,i_18_22,word,descriptive_words,understands; produces,skitten,NA,filthy,dirty
item_363,i_18_23,word,descriptive_words,understands; produces,skjønn,NA,discretion,beautiful
item_364,i_18_24,word,descriptive_words,understands; produces,slem,NA,naughty,naughty
item_365,i_18_25,word,descriptive_words,understands; produces,sliten,NA,sleepy,tired
item_366,i_18_26,word,descriptive_words,understands; produces,søt,NA,soot,cute
item_367,i_18_27,word,descriptive_words,understands; produces,stor,NA,large,big
item_368,i_18_28,word,descriptive_words,understands; produces,sulten,NA,hungry,hungry
item_369,i_18_29,word,descriptive_words,understands; produces,syk,NA,sick,sick
item_370,i_18_30,word,descriptive_words,understands; produces,tom,NA,empty,empty
item_371,i_18_31,word,descriptive_words,understands; produces,tørr,NA,dry,dry (description)
item_372,i_18_32,word,descriptive_words,understands; produces,tørst,NA,thirst,thirsty
item_373,i_18_33,word,descriptive_words,understands; produces,trøtt,NA,sleepy,tired
item_374,i_18_34,word,descriptive_words,understands; produces,varm,NA,hot,hot
item_375,i_18_35,word,descriptive_words,understands; produces,våt,NA,wet,wet (description)
item_376,i_18_36,word,descriptive_words,understands; produces,vondt,NA,ache,hurt (description)
item_377,i_19_1,word,time_words,understands; produces,dag,NA,day,day
item_378,i_19_2,word,time_words,understands; produces,i dag,NA,present day,today
item_379,i_19_3,word,time_words,understands; produces,i kveld,NA,tonight,tonight
item_380,i_19_4,word,time_words,understands; produces,i morgen,NA,tomorrow,tomorrow
item_381,i_19_5,word,time_words,understands; produces,morgen,NA,morning,morning
item_382,i_19_6,word,time_words,understands; produces,nå,NA,by now,now
item_383,i_19_7,word,time_words,understands; produces,natt,NA,night,night
item_384,i_19_8,word,time_words,understands; produces,senere,NA,later on,later
item_385,i_20_1,word,pronouns,understands; produces,den,NA,the,3SG
item_386,i_20_2,word,pronouns,understands; produces,denne,NA,this,this
item_387,i_20_3,word,pronouns,understands; produces,det,NA,it,that
item_388,i_20_4,word,pronouns,understands; produces,dette,NA,this,this
item_389,i_20_5,word,pronouns,understands; produces,din,NA,your,2SG.POSS
item_390,i_20_6,word,pronouns,understands; produces,du,NA,you,2SG
item_391,i_20_7,word,pronouns,understands; produces,hans,NA,his,3SG.POSS
item_392,i_20_8,word,pronouns,understands; produces,hennes,NA,her,3SG.POSS
item_393,i_20_9,word,pronouns,understands; produces,jeg,NA,I,1SG
item_394,i_20_10,word,pronouns,understands; produces,meg,NA,me,1SG
item_395,i_20_11,word,pronouns,understands; produces,min,NA,my,1SG.POSS
item_396,i_21_1,word,question_words,understands; produces,hva,NA,what,what
item_397,i_21_2,word,question_words,understands; produces,hvem,NA,who,who
item_398,i_21_3,word,question_words,understands; produces,hvor,NA,where,where (question)
item_399,i_21_4,word,question_words,understands; produces,hvordan,NA,how to,how
item_400,i_21_5,word,question_words,understands; produces,hvorfor,NA,how come,why
item_401,i_21_6,word,question_words,understands; produces,når,NA,what time,when (question)
item_402,i_22_1,word,locations,understands; produces,av,NA,of the,of
item_403,i_22_2,word,locations,understands; produces,bak,NA,behind,back (location)
item_404,i_22_3,word,locations,understands; produces,bort,NA,away,away
item_405,i_22_4,word,locations,understands; produces,der,NA,there,there
item_406,i_22_5,word,locations,understands; produces,i,NA,in,in
item_407,i_22_6,word,locations,understands; produces,inn,NA,in,inside
item_408,i_22_7,word,locations,understands; produces,inne,NA,in,inside
item_409,i_22_8,word,locations,understands; produces,inni,NA,Occasionally,inside
item_410,i_22_9,word,locations,understands; produces,ned,NA,down,down
item_411,i_22_10,word,locations,understands; produces,nede,NA,down,down
item_412,i_22_11,word,locations,understands; produces,opp,NA,up,up
item_413,i_22_12,word,locations,understands; produces,oppe,NA,up,up
